Founded Date,Founded Date Precision,Organization Name,Organization Name URL,Categories,Description,Headquarters Location,Headquarters Regions,Operating Status,Hub Tags,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status
2014-08-05,day,Fortuitapps,https://www.crunchbase.com/organization/fortuitapps,"Artificial Intelligence, EdTech, FinTech, Machine Learning, Natural Language Processing, Software",Extensive use of Artificial Intelligence in order to produce truly innovative software products that solve real-world problems.,"Nottingham, Nottingham, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2014-01-01,year,CrediGence,https://www.crunchbase.com/organization/credigence,"Big Data, FinTech, Machine Learning, Micro Lending",CrediGence provides a loan management system for micro finance institutions. ,"Ashdot Yaakov Meuhad, HaZafon, Israel",,Active,,1,,2015-08-10,,,,Non-equity Assistance,,,,,
2017-07-31,day,Economic Data Sciences,https://www.crunchbase.com/organization/economic-data-sciences,"Analytics, Artificial Intelligence, Big Data, FinTech, Machine Learning",Technology solution which provides understandable Artificial Intelligence ,,,Active,,,,,,,,,,,,,
2014-01-09,day,Flook,https://www.crunchbase.com/organization/flook-06c1,"Artificial Intelligence, Assistive Technology, Document Management, E-Learning, Machine Learning, Management Information Systems, Natural Language Processing, Predictive Analytics","Distributed E-Learning, Education Management, Artificial Intelligence, Machine Learning, Predictive Analysis, SaaS, AIaaS, Online Education","Palma De Mallorca, Islas Baleares, Spain",European Union (EU),Active,,2,Early Stage Venture,2018-05-11,,,,Series A,,,,,
1988-01-01,year,Quantrax,https://www.crunchbase.com/organization/quantrax,"Artificial Intelligence, Debt Collections, Software",Quantrax Corporation designs and builds intelligent software for collection agencies and other areas of receivables management.,"Bethesda, Maryland, United States","Washington DC Metro Area, East Coast, Southern US",Active,,,,,,,,,,,,,
2018-04-01,day,Planner.bot,https://www.crunchbase.com/organization/planner-bot,"Artificial Intelligence, FinTech, InsurTech, Personal Finance",Life and Financial Planning A.I. Chatbot,"São Paulo, Sao Paulo, Brazil",,Active,,,,,,,,,,,,,
1987-01-01,year,EtsFactory,https://www.crunchbase.com/organization/etsfactory,"Artificial Intelligence, Asset Management, Financial Services",EtsFactory develops artificial intelligence algorithms to make investment decisions based on research and science.,"Pozuelo De Alarcón, Madrid, Spain",European Union (EU),Active,,,,,,,,,,,,,
2017-01-01,day,WOA,https://www.crunchbase.com/organization/woa,"Artificial Intelligence, FinTech",a prodigious FinTech Disruption AI Algorithm | nX gen trading | currencies and stocks | AI technology ​,,,Active,,,,,,,,,,,,,
2018-02-14,day,AIRA,https://www.crunchbase.com/organization/aira-1cae,"Artificial Intelligence, FinTech, News",Kick-ass financial news directly in your inbox,,,Active,,,,,,,,,,,,,
2014-09-18,day,"FinVR, Inc.",https://www.crunchbase.com/organization/finvr,"Artificial Intelligence, Augmented Reality, Field-Programmable Gate Array (FPGA), Financial Exchanges, Financial Services, FinTech, Social Media Management",Sherlock helps investors make smarter trading decisions by using a unique blend of machine learning and augmented reality.,"St. Charles, Missouri, United States",Midwestern US,Active,,,,,,,,,,,,,
2017-10-01,month,CreditSnap,https://www.crunchbase.com/organization/creditsnap,"Consumer Lending, FinTech, Machine Learning",Creditsnap uses AI and Soft Inquiry technology to tell borrowers how much they can borrow - without credit impact.,"San Antonio, Texas, United States",Southern US,Active,,,,,,,,,,,,,
2008-01-01,month,Tabard Advisory Group,https://www.crunchbase.com/organization/tabard-advisory-group,"AgTech, Artificial Intelligence, Big Data, Cloud Computing, Consulting, FinTech","Tabard Advisory Group is a Boston-based advisory firm focused on financial services, IT, and AgTech companies across the world.","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,,,,,,,,,,,,
2017-08-01,day,DigRate,https://www.crunchbase.com/organization/digrate,"Analytics, Blockchain, Cryptocurrency, Finance, FinTech, Market Research, Predictive Analytics, Sharing Economy","Digital Rating Agency is the first professional provider of independent evaluation of ICO projects, digital assets and cryptocurrencies.",,,Active,,,,,,,,,,,,,
2016-01-01,year,Geniusee,https://www.crunchbase.com/organization/geniusee,"Android, Artificial Intelligence, Blockchain, Consulting, Data Integration, Data Visualization, Developer Platform, FinTech, Health Care, Internet of Things, iOS, Mobile, Outsourcing, Product Design, Product Management, SaaS, Web Development","We are tech service company. Our primary focus is AI, Blockchain, and Web/Mobile development.","Kyiv, Kyyiv, Ukraine",,Active,,,,,,,,,,,,,
2017-09-01,month,BlocHealth,https://www.crunchbase.com/organization/blochealth,"Artificial Intelligence, Blockchain, Health Care, Identity Management, Software","The smart concierge platform for healthcare students, professionals, and organizations.",,,Active,,,,,,,,,,,,,
2016-01-12,day,Qraft Technologies,https://www.crunchbase.com/organization/qraft-technologies,"Artificial Intelligence, Asset Management, Machine Learning",Qraft Technologies provides AI solutions customized for various uses and has specialties in AI investment solutions. ,"Seoul, Seoul-t'ukpyolsi, South Korea",Asia-Pacific (APAC),Active,,,,,,,,,,,,,
2014-01-01,year,Arbor Insight,https://www.crunchbase.com/organization/arbor-insight,"Machine Learning, Risk Management, SaaS","SaaS, API, Intelligent Software Agent, Fintech, Machine Learning","Ann Arbor, Michigan, United States","Great Lakes, Midwestern US",Active,,,,,,,,,,,,,
2017-02-28,day,ProYourWay,https://www.crunchbase.com/organization/proyourway,"Accounting, Advertising, Artificial Intelligence, Big Data, Consulting, Financial Services, Information Technology, Marketing, Marketplace","ProYourWay is next generation TaaS platform that allow companies to engage independent experts, hire pre-formed teams or build bespoke teams","Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",Active,,,,,,,,,,,,,
2018-01-01,year,Rise Capital,https://www.crunchbase.com/organization/rise-capital-4415,"Artificial Intelligence, Blockchain, Cryptocurrency, Financial Services, Machine Learning, Wealth Management",Blockchain & Cryptoasset Investment Firm,"Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,,,,,,,,,,,,,
2016-07-11,day,Automatski Solutions,https://www.crunchbase.com/organization/automatski-solutions,"Artificial Intelligence, Blockchain, Education, FinTech, Health Care, Internet of Things, Machine Learning, Natural Language Processing, Peer to Peer, SaaS",Internet of Things,,,Active,,,,,,,,,,,,,
2010-01-01,year,AlphaGenius,https://www.crunchbase.com/organization/alphagenius,"Fashion, Finance, FinTech, Machine Learning, Software, Stock Exchanges",Technology and Investment Company,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,,,,,,,,,,,,,
,,Aiida by Softrobot,https://www.crunchbase.com/organization/aiida-by-softrobot,"Accounting, Artificial Intelligence, Machine Learning",Automate your workflow and get time for important tasks. Aiida is an AI that will revolutionize the way you work with files.,"Uppsala, Uppsala Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",Active,,,,,,,,,,,,,
2015-01-08,day,CoalFace,https://www.crunchbase.com/organization/coalface,"Big Data, FinTech, Machine Learning",CoalFace is a FinTech company that focuses on modelling of big data and AI techniques application.,"Dublin, Dublin, Ireland",European Union (EU),Active,,,,,,,,,,,,,
2015-01-01,year,facturame,https://www.crunchbase.com/organization/facturame,"FinTech, Machine Learning, Mobile Apps",factúrame is a mobile application that allows consumers and small businesses to manage and store electronic invoices.,,,Active,,,,,,,,,,,,,
2015-01-01,month,Vijilent,https://www.crunchbase.com/organization/vijilent,"Business Intelligence, Predictive Analytics, Risk Management",Quick delivery of people identification using predictive analytics to reduce risks of online transactions and boost business intelligence.,"Raleigh, North Carolina, United States","Research Triangle, East Coast, Southern US",Active,,,,,,,,,,,,,
,,Wyzer,https://www.crunchbase.com/organization/wyzer,"Artificial Intelligence, Blockchain, FinTech","Wyzer assists organizations in fin-tech, AI, and blockchain.",,,Active,,,,,,,,,,,,,
2001-03-01,day,Bell Energy Services UK Limited,https://www.crunchbase.com/organization/bell-energy-services-uk-limited,"Artificial Intelligence, Asset Management, Internet of Things, Machine Learning, Public Safety, Risk Management, Software Engineering","Bell Energy specializes in Process Safety, Risk Management and Asset Integrity.","London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2017-11-01,day,Hyperbridge,https://www.crunchbase.com/organization/hyperbridge,"Bitcoin, Blockchain, Cryptocurrency, E-Commerce, Ethereum, FinTech, Machine Learning, Virtual Currency","Hyperbridge is a technology R&D studio, formed to solve some of the biggest challenges in blockchain, IoT, and AI.",,,Active,,,,,,,,,,,,,
2011-08-31,day,Stockato,https://www.crunchbase.com/organization/stockato-llc,"Finance, FinTech, Machine Learning, Personal Finance, Retirement, Software",Financial Instrument Classification,"Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,,,,,,,,,,,,
2002-07-09,day,DreamTai com Inc,https://www.crunchbase.com/organization/dreamtai-com-inc,"Artificial Intelligence, FinTech, Machine Learning","DreamTai com Inc uses artificial intelligence, machine learning and neural networks software for trading financial markets. ","Princeton, New Jersey, United States","East Coast, Northeastern US",Active,,1,Seed,2002-07-09,5000,USD,5000,Seed,5000,USD,5000,,
2018-01-01,year,Strap Technologies,https://www.crunchbase.com/organization/strap-technologies,"Assistive Technology, Hardware, Internet of Things, Machine Learning","Strap technologies, INC is a Mexican company and we are making a revolution in how blind people explore the world.","Monterrey, Nuevo Leon, Mexico",,Active,,,,,,,,,,,,,
2015-11-25,day,Valdon Mesh GmbH,https://www.crunchbase.com/organization/valdon-mesh,"Analytics, Big Data, Business Development, Computer Vision, Consulting, Data Visualization, Finance, Machine Learning, Predictive Analytics, Risk Management, Software Engineering",Consulting Boutique for Quant Finance and Data Science,"Frankfurt, Hessen, Germany",European Union (EU),Active,,,,,,,,,,,,,
2014-05-14,day,Trendify,https://www.crunchbase.com/organization/trendify,"FinTech, Predictive Analytics, Risk Management",Trendify is a meta-startup that uses big data and machine learning to predict startup success.,"Somerset, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,,,,,,,
2016-09-01,day,Tentacle,https://www.crunchbase.com/organization/tentacle,"Classifieds, Commercial Real Estate, FinTech, Machine Learning",The Nordics largest digital platform for transactions of commercial real estate.,"Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",Active,,,,,,,,,,,,,
,,Xinshu Credit,https://www.crunchbase.com/organization/xinshu-credit,"Artificial Intelligence, Finance, Financial Services, FinTech","A Fintech Company based in Shanghai,China.","Shanghai, Shanghai, China",Asia-Pacific (APAC),Active,,1,Seed,2018-05-14,,,,Seed,,,,,
2014-05-16,day,Forex Team,https://www.crunchbase.com/organization/forex-team,"Analytics, Artificial Intelligence, Financial Services, FinTech, Mobile Apps",Automated forex trading mobile solutions,"Riga, Riga, Latvia",European Union (EU),Active,,,,,,,,,,,,,
2015-01-01,year,Neighborhood Watch for Corporations®,https://www.crunchbase.com/organization/neighborhood-watch-for-corporations,"Compliance, FinTech, Fraud Detection, Machine Learning, Risk Management, SaaS","Risk Management, SaaS, Operational Risk, Compliance Risk, Insurance, Ethics, Fraud, Security, Safety, Insider Threat, Fintech",,,Active,,,,,,,,,,,,,
2016-12-18,day,Stirling Labs,https://www.crunchbase.com/organization/stirling-labs,"Architecture, Civil Engineering, Collaboration, Construction, Data Visualization, Industrial Engineering, Infrastructure, Risk Management, Virtual Reality","Collaboration tools for design, management and construction of large- and mega-scale engineering projects.","Perth, Western Australia, Australia","Asia-Pacific (APAC), Australasia",Active,,,,,,,,,,,,,
2016-01-01,day,FI Analytics,https://www.crunchbase.com/organization/fi-analytics,"Data Visualization, Financial Services, FinTech, Software",Data visualization software for Folio Institutional accounts.,"Bellingham, Washington, United States","West Coast, Western US",Active,,,,,,,,,,,,,
2018-08-15,day,Botgate AI,https://www.crunchbase.com/organization/botgate-ai,"Artificial Intelligence, Banking, Customer Service, E-Commerce, Human Resources, Machine Learning, Natural Language Processing",Boost efficiency and automate processes with AI powered conversational software ,,,Active,,,,,,,,,,,,,
,,Fraud Dynamics,https://www.crunchbase.com/organization/fraud-dynamics,"Fraud Detection, Machine Learning, Security",Fraud Dynamics was founded as a result of a collaboration of international experts around the future of Fraud Management.,"Amsterdam, Noord-Holland, The Netherlands",European Union (EU),Active,,,,,,,,,,,,,
